QuestionBody,AnswerBody
What is the difference between artificial learning and machine learning?,"Machine learning involves designing and developing algorithms based on empirical data, while AI encompasses other aspects like knowledge representation, natural language processing, planning, and robotics."
What is a classifier in machine learning?,A classifier is a system that inputs a vector of features and outputs a discrete value representing a class.
What are the advantages of Naive Bayes?,"Naive Bayes converges quicker than discriminative models like logistic regression, and it doesn't learn the interactions between features."
In what areas Pattern Recognition is used?,"Pattern recognition is used in Computer Vision, Speech Recognition, Data Mining, Statistics, Information Retrieval, Bio-Informatics."
What is Genetic Programming?,"Genetic programming is one of two techniques used in machine learning, based on testing and selecting the best choice among a set of results."
What is Inductive Logic Programming in Machine Learning?,Inductive Logic Programming (ILP) is a subfield of machine learning that uses logic programming to represent background knowledge and examples.
What is Model Selection in Machine Learning?,Model selection is the process of selecting the best model from a set of mathematical models used to describe the same data set.
What are the two methods used for the calibration in Supervised Learning?,The two methods used for calibration are Platt Calibration and Isotonic Regression.
Which method is frequently used to prevent overfitting?,Isotonic Regression is used when there is sufficient data to prevent overfitting.
What is the difference between heuristic for rule learning and heuristics for decision trees?,"Heuristics for decision trees evaluate the average quality of many disjointed sets, while rule learners evaluate the quality of the set covered by the candidate rule."
What is Perceptron in Machine Learning?,Perceptron is an algorithm for supervised classification of input into one of several possible non-binary outputs.
Explain the two components of the Bayesian logic program?,A Bayesian logic program consists of two components: a logical one (Bayesian Clauses) and a quantitative one that encodes domain information.
What are Bayesian Networks (BN)?,Bayesian networks are graphical models that represent probabilistic relationships among variables.
Why instance-based learning algorithm sometimes referred to as a Lazy learning algorithm?,An instance-based learning algorithm is also referred to as lazy learning because it delays the induction or generalization process until classification is performed.
What are the two classification methods that SVM (Support Vector Machine) can handle?,The two classification methods SVM can handle are combining binary classifiers and modifying binary classifiers to incorporate multiclass learning.
What is ensemble learning?,Ensemble learning involves combining multiple models to solve a particular computational problem.
Why is ensemble learning used?,"Ensemble learning is used to improve classification, prediction, or function approximation."
When to use ensemble learning?,Ensemble learning is used when component classifiers are more accurate and independent.
What are the two paradigms of ensemble methods?,The two paradigms of ensemble methods are Sequential and Parallel.
What is the general principle of an ensemble method and what is bagging and boosting in the ensemble method?,"The general principle is to combine the predictions of several models. Bagging reduces variance, and boosting reduces bias."
What is a bias-variance decomposition of classification error in the ensemble method?,The expected error of a learning algorithm can be decomposed into bias and variance. Bias measures how closely the average classifier matches the target function.
What is an Incremental Learning algorithm in the ensemble?,Incremental learning allows an algorithm to learn from new data after the classifier has already been generated from existing data.
"What are PCA, KPCA, and ICA used for?","PCA (Principal Component Analysis), KPCA (Kernel-based PCA), and ICA (Independent Component Analysis) are used for dimensionality reduction."
What is dimension reduction in Machine Learning?,Dimensionality reduction is the process of reducing the number of random variables under consideration in a dataset.
What are support vector machines?,Support vector machines are supervised learning algorithms used for classification and regression analysis.
What are the components of relational evaluation techniques?,"The components of relational evaluation techniques are Data Acquisition, Ground Truth Acquisition, Cross-Validation, Query Type, Scoring Metric, and Significance Test."
What are the different methods for Sequential Supervised Learning?,"Sequential Supervised Learning methods include Sliding-window methods, Recurrent sliding windows, Hidden Markov Models, Maximum Entropy Markov Models, and Conditional Random Fields."
What are the areas in robotics and information processing where sequential prediction problem arises?,"Sequential prediction problems arise in Imitation Learning, Structured Prediction, and Model-based Reinforcement Learning."
What is batch statistical learning?,Statistical learning techniques allow learning a function from a dataset and provide guarantees on its performance on future data.
What is PAC Learning?,PAC (Probably Approximately Correct) learning is a framework used to analyze learning algorithms and their statistical efficiency.
What are the different categories you can categorize the sequence learning process?,"Sequence learning processes include Sequence Prediction, Sequence Generation, Sequence Recognition, and Sequential Decision."
What is sequence learning?,Sequence learning is the process of learning and teaching in a logical order.
What are two techniques of Machine Learning?,The two techniques of machine learning are Genetic Programming and Inductive Learning.
Give a popular application of machine learning that you see on day to day basis?,Recommendation engines used by e-commerce websites are a popular application of machine learning.
